tag,title
football/27,"
করোনায় আক্রান্ত জেমি ডে

 আপডেট  ১৬ নভেম্বর, ২০২০


নেপালের বিপক্ষে দ্বিতীয় প্রীতি ম্যাচের আগে বড় এক ধাক্কা খেল বাংলাদেশ জাতীয় ফুটবল দল। করোনাভাইরাসে আক্রান্ত হয়েছেন দলের কোচ জেমি ডে। বঙ্গবন্ধু শেখ মুজিব মেডিকেল...								.....বিস্তারিত

"
football/27,"
৫ বছর পর নেপালকে হারাল বাংলাদেশ

 আপডেট  ১৩ নভেম্বর, ২০২০


মুজিব বর্ষ ফিফা আন্তর্জাতিক প্রীতি ফুটবল সিরিজের প্রথম ম্যাচে সফরকারী নেপালের বিপক্ষে ২-০ গোলে জয়ী হয়েছে স্বাগিতক বাংলাদেশ। আজ বঙ্গবন্ধু জাতীয় স্টেডিয়ামে অনুষ্ঠিত ম্যাচের দুই...								.....বিস্তারিত

"
football/27,"
বার্সা সভাপতি বার্তোমেউর পদত্যাগ

 আপডেট  ২৮ অক্টোবর, ২০২০


নানামুখী চাপ ও সমালোচনার মুখে অবশেষে পদত্যাগ করলেন স্প্যানিশ ক্লাব বার্সেলোনার বোর্ড সভাপতি জোসেপ মারিয়া বার্তোমেউ। তার সঙ্গে সরে দাঁড়িয়েছেন ক্লাবটির পরিচালকরাও।
স্পেনের স্থানীয় সময়...								.....বিস্তারিত

"
football/27,"
ইসলাম নিয়ে ‘কটূক্তি’, ফ্রান্সের হয়ে খেলবেন না পগবা

 আপডেট  ২৬ অক্টোবর, ২০২০


মহানবী হযরত মোহাম্মদ (সা:)-কে নিয়ে ব্যাঙ্গচিত্র প্রকাশের ঘটনার জের ধরে ফ্রান্সের প্রেসিডেন্ট ইমানুয়েল ম্যাক্রোঁর ইসলাম বিদ্বেষী মন্তব্যের জন্য দেশের হয়ে আর খেলবেন না বলে সিদ্ধান্ত নিয়েছেন ম্যানচেস্টার...								.....বিস্তারিত

"
football/27,"
ফুটবল মাঠে মহানবী (সা.) এর প্রতি সম্মান

 আপডেট  ২৬ অক্টোবর, ২০২০


ফ্রান্সে মহানবী হযরত মুহাম্মদ (সা.)-কে কটাক্ষ করে ব্যঙ্গচিত্র প্রদর্শনীর প্রতিবাদে ফুঁসে উঠেছে বিশ্ব। এরই মধ্যে দেশটির পণ্য বয়কট করা শুরু করেছে অনেকেই। সামাজিক যোগাযোগমাধ্যমে হ্যাশট্যাগ বয়কট...								.....বিস্তারিত

"
football/27,"
এবার করোনায় আক্রান্ত রোনালদিনহো

 আপডেট  ২৬ অক্টোবর, ২০২০


ব্রাজিলের কিংবদন্তি ফুটবলার রোনালদিনহো করোনায় আক্রান্ত হয়েছেন। করোনা রিপোর্ট পজিটিভ আসার পর থেকে আইসোলেশনে আছেন তিনি। যদিও এই ব্রাজিলিয়ানের শরীরে কোনো প্রকার উপসর্গ দেখা যায়নি।...								.....বিস্তারিত

"
football/27,"
নেইমারের হ্যাটট্রিকে পেরুকে ৪-২ গোলে হারাল ব্রাজিল

 আপডেট  ১৪ অক্টোবর, ২০২০


কাতার বিশ্বকাপের বাছাইপর্বে তারকা ফুটবলার নেইমারের হ্যাটট্রিকে পেরুকে ৪-২ গোলের ব্যবধানে হারিয়েছে ব্রাজিল।
বাংলাদেশ সময় বুধবার সকালে পেরুর রাজধানী লিমায় পাঁচবারের বিশ্ব চ্যাম্পিয়নদের পক্ষে বাকি...								.....বিস্তারিত

"
football/27,"
দলবদলে কার কোথায় ঠিকানা

 আপডেট  ০৭ অক্টোবর, ২০২০


করোনাভাইরাসের কারণে ২০১৯-২০ মৌসুম শেষ হতে বেশ সময় নিয়েছিল। যার কারণে ইউরোপের ফুটবলের অন্যতম আকর্ষণ এবারের গ্রীষ্মকালীন দলবদলে ক্লাবগুলো তিন মাসের পরিবর্তে সময় পেল মাত্র...								.....বিস্তারিত

"
cricket/28,"
টেস্টে লাল-সবুজের পথচলার কুড়ি বছর

 আপডেট  ১১ নভেম্বর, ২০২০


আজ থেকে কুড়ি বছর আগে টেস্ট ক্রিকেটের মাঠে পদচারণা শুরু বাংলাদেশের। ২০০০ সালের ১০ নভেম্বর বঙ্গবন্ধু জাতীয় স্টেডিয়ামে দুই বাঙালি অধিনায়কের টসে শুরু টেস্ট ক্রিকেটে...								.....বিস্তারিত

"
cricket/28,"
সস্ত্রীক করোনা আক্রান্ত মুমিনুল

 আপডেট  ১০ নভেম্বর, ২০২০


বাংলাদেশ টেস্ট দলের অধিনায়ক মুমিনুল হক করোনা আক্রান্ত।
তবে শুধু মুমিনুলই নন, তার স্ত্রীও করোনা পজিটিভ বলে জানা গেছে।  
আজ মঙ্গলবার (১০ নভেম্বর) এই তথ্য...								.....বিস্তারিত

"
cricket/28,"
রাজার বেশে ফিরছেন সাকিব

 আপডেট  ০৫ নভেম্বর, ২০২০


গেল একটা বছর দুঃসহ কেটেছে। তবে এখন আর মাথার ওপর নেই আইসিসির নিষেধাজ্ঞা। মুক্ত সাকিব আল হাসান। ফেরাটাও হচ্ছে দারুণ সুখকর অনুভূতি নিয়ে। নিষিদ্ধ হওয়ার...								.....বিস্তারিত

"
cricket/28,"
দেশে ফিরছেন সাকিব

 আপডেট  ০৩ নভেম্বর, ২০২০


আগামী বৃহস্পতিবার দেশে ফিরছেন বিশ্বসেরা অলরাউন্ডার সাকিব আল হাসান। সাকিবের ঘনিষ্ঠ এক নির্ভরযোগ্য সূত্র, আজ মঙ্গলবার (৩ নভেম্বর) জানিয়েছে, দেশে আসার পরপরই মিরপুরের হোম অব ক্রিকেটে...								.....বিস্তারিত

"
