tag,title,summary
entertainment/world,"হোটেলের ঘরে অভিনেত্রীর মৃতদেহ
",একের পর এক মৃত্যু সংবাদ ভারতীয় বিনোদন জগতে। এবার হোটেলের ঘর থেকে উদ্ধার হল তামিল টেলিভিশনের জনপ্রিয় অভিনেত্রী ভিজে চিত্রার মরদেহ। চেন্নাইয়ের প্রত্যন্ত এলাকার একটি হোটেলে এই ঘটনা ঘটেছে। খবর ভারতীয় গণমাধ্যমের। ভি জে চিত্রা  … 
entertainment/world,"সম্পত্তি বন্ধক রেখে দুঃস্থদের সাহায্যে সোনু সুদ
","বলিউড অভিনেতা সোনু সুদ মানেই সাহায্যের হাত। ভারতের করোনাকালিন লকডাউন পরিস্থিতিতে বিভিন্ন জায়গায় আটকে পড়া শ্রমিকদের নিরাপদে বাড়ি ফেরানো থেকে শুরু করে করোনাযোদ্ধাদের পিপিই কিট দান, অভাবী-মেধাবী পড়ুয়াদের পড়াশোনার ভার নেওয়া – জনসেবক সোনু সুদের  … "
entertainment/world,"স্বামীর নির্যাতনেই অকালে চলে গেলেন অভিনেত্রী
","সোমবার (৭ ডিসেম্বর) ভোর ৩টা নাগাদ মুম্বাইয়ের এক বেসরকারি হাসপাতালে মৃত্যু হয় হিন্দি টেলিভিশনের জনপ্রিয় অভিনেত্রী দিব্যা ভাটনগরের। মাত্র ৩৪ বছর বয়সে করোনা ভাইরাসে আক্রান্ত হয়ে মৃত্যুবরণ করলেন তিনি। কিন্তু মৃত্যুর একদিন পরই দাবি করা,  … "
entertainment/world,"তর্কযুদ্ধে অনিল-অনুরাগ, কারণ ফাঁস করলেন সিদ্ধার্থ
","হটাৎ করেই তর্কযুদ্ধে জড়িয়ে পড়লেন বলিউডের সিনিয়র অভিনেতা অনিল কাপুর ও পরিচালক অনুরাগ কাশ্যপ। বলা যায় রীতিমতো কোন্দল। পরিস্থিতি এমন দাঁড়িয়েছে, টুইটারে সিনিয়র অভিনেতাকে অস্কার নিয়ে খোঁটা পর্যন্ত দিয়ে ফেললেন বলিউড পরিচালক। ঘটনার সুত্রপাত, রবিবার  … "
entertainment/world,"‘ভাল নেই দিলীপ কুমার’, জানালেন স্ত্রী সায়রা বানু
","শারীরিক ভাবে খুব একটা ভাল নেই বলিউডের কিংবদন্তি অভিনেতা দিলীপ কুমার। ভারতীয় সংবাদমাধ্যমে এ তথ্য জানিয়েছেন তার স্ত্রী অভিনেত্রী সায়রা বানু। কিংবদন্তি অভিনেতার ৯৮তম জন্মদিনের আগে ভারতীয় সংবাদমাধ্যমের কাছে সায়না বানু জানিয়েছেন, বর্ষীয়ান অভিনেতার রোগ  … "
entertainment/world,"কৃষকদের পক্ষে প্রিয়াঙ্কা-সোনম, বিপক্ষে সানি
",সাম্প্রতিক কৃষি বিল নিয়ে ভারতে চলছে কৃষকদের আন্দোলন। আর কৃষক বিক্ষোভ নিয়ে বিতর্কিত পোস্ট করে অস্বস্তিতে রয়েছে বলিউডের কন্ট্রোভার্সি কুইন অভিনেত্রী কঙ্গনা রানাওয়াত। এবার এই একই বিষয়ে পোস্ট করে ট্রোলড হতে হল বর্ষীয়ান বলিউড অভিনেতা  … 
entertainment/world,"করোনায় আক্রান্ত হয়ে জনপ্রিয় অভিনেত্রী দিব্যার মৃত্যু
","করোনা ভাইরাসে আক্রান্ত হয়ে মৃত্যুবরণ করলেন হিন্দি টেলিভিশনের জনপ্রিয় অভিনেত্রী দিব্যা ভাটনগর। পরিবার সূত্রে জানা গিয়েছে, সোমবার (৭ ডিসেম্বর) ভোর ৩টা নাগাদ মুম্বাইয়ের এক বেসরকারি হাসপাতালে মৃত্যু হয় দিব্যার। মৃত্যুকালে তার বয়স হয়েছিল ৩৪ বছর।  … "
entertainment/world,"‘তৃতীয় লিঙ্গ’ মিলিন্দ সুমন
",কয়েকদিন আগেই একের পর এক আলোচনায় আলোচিত হয়েছিলেন বলিউড অভিনেতা ও মডেল মিলিন্দ সুমন। গোয়ার সৈকতে নগ্ন হয়ে দৌড়নোর ছবি পোস্ট করা নিয়ে বিতর্কের মাঝেই আবার এক সাহসী ছবি আপলোড করেছিলেন সোশ্যাল মিডিয়ায়। ১০ নভেম্বর  … 
entertainment/world,"প্রতারণার ফাঁদে পড়ে আত্মঘাতী ‘তারক মেহতা কা উলটা চশমা’র লেখক
","অনলাইন প্রতারণা চক্রের কবলে পড়ে আত্মঘাতী হয়েছেন জনপ্রিয় হিন্দি সিরিয়াল ‘তারক মেহতা কা উলটা চশমা’ ধারাবাহিকের লেখক অভিষেক মাকওয়ানা। ভারতীয় গণমাধ্যম সুত্রে জানা যায়, অভিষেকের ঝুলন্ত দেহ উদ্ধারের পর তার ঘর থেকে একটি স্যুইসাইড নোট  … "
entertainment/world,"কৃষকদের পক্ষে পোস্ট দিয়ে আবার ডিলিট, কটাক্ষের শিকার ধর্মেন্দ্র
",সাম্প্রতিক কৃষি বিল নিয়ে ভারতে চলছে কৃষকদের আন্দোলন। আর কৃষক বিক্ষোভ নিয়ে বিতর্কিত পোস্ট করে অস্বস্তিতে রয়েছে বলিউডের কন্ট্রোভার্সি কুইন অভিনেত্রী কঙ্গনা রানাওয়াত। এবার এই একই বিষয়ে পোস্ট করে ট্রোলড হতে হল বর্ষীয়ান বলিউড অভিনেতা  … 
